TANGGAL,BULAN,TAHUN,CURAH HUJAN,,,,,,,
2,MEI,2018,"0,20",,,,,,,
3,MEI,2018,"21,00",,,,,,,
4,MEI,2018,,,,,,,,
5,MEI,2018,,,,,,,,
6,MEI,2018,,,,,,,,
7,MEI,2018,,,,,,,,
8,MEI,2018,"6,10",,,,,,,
9,MEI,2018,,,,,,,,
10,MEI,2018,"2,90",,,,,,,
11,MEI,2018,,,,,,,,
12,MEI,2018,"11,50",,,,,,,
13,MEI,2018,,,,,,,,
14,MEI,2018,"1,00",,,,,,,
15,MEI,2018,,,,,,,,
16,MEI,2018,,,,,,,,
17,MEI,2018,,,,,,,,
18,MEI,2018,,,,,,,,
19,MEI,2018,"57,60",,,,,,,
20,MEI,2018,,,,,,,,
21,MEI,2018,,,,,,,,
22,MEI,2018,,,,,,,,
23,MEI,2018,,,,,,,,
24,MEI,2018,"0,80",,,,,,,
25,MEI,2018,"7,70",,,,,,,
26,MEI,2018,,,,,,,,
27,MEI,2018,"0,20",,,,,,,
28,MEI,2018,"0,50",,,,,,,
29,MEI,2018,"2,40",,,,,,,
30,MEI,2018,"12,70",,,,,,,
31,MEI,2018,,,,,,,,
1,JUNI,2018,,,,,,,,
2,JUNI,2018,,,,,,,,
3,JUNI,2018,,,,,,,,
4,JUNI,2018,,,,,,,,
5,JUNI,2018,"12,50",,,,,,,
6,JUNI,2018,,,,,,,,
7,JUNI,2018,,,,,,,,
8,JUNI,2018,"6,60",,,,,,,
9,JUNI,2018,,,,,,,,
10,JUNI,2018,,,,,,,,
11,JUNI,2018,,,,,,,,
12,JUNI,2018,,,,,,,,
13,JUNI,2018,"25,40",,,,,,,
14,JUNI,2018,"12,00",,,,,,,
15,JUNI,2018,,,,,,,,
16,JUNI,2018,"10,00",,,,,,,
17,JUNI,2018,,,,,,,,
18,JUNI,2018,"10,50",,,,,,,
19,JUNI,2018,"26,70",,,,,,,
20,JUNI,2018,"4,50",,,,,,,
21,JUNI,2018,,,,,,,,
22,JUNI,2018,,,,,,,,
23,JUNI,2018,"1,20",,,,,,,
24,JUNI,2018,,,,,,,,
25,JUNI,2018,,,,,,,,
26,JUNI,2018,"25,30",,,,,,,
27,JUNI,2018,,,,,,,,
28,JUNI,2018,"2,30",,,,,,,
29,JUNI,2018,"1,30",,,,,,,
30,JUNI,2018,,,,,,,,
31,JUNI,2018,,,,,,,,
1,JULI,2018,,,,,,,,
2,JULI,2018,,,,,,,,
3,JULI,2018,"49,00",,,,,,,
4,JULI,2018,"9,20",,,,,,,
5,JULI,2018,"2,70",,,,,,,
6,JULI,2018,"1,70",,,,,,,
7,JULI,2018,,,,,,,,
8,JULI,2018,,,,,,,,
9,JULI,2018,,,,,,,,
10,JULI,2018,,,,,,,,
11,JULI,2018,,,,,,,,
12,JULI,2018,,,,,,,,
13,JULI,2018,,,,,,,,
14,JULI,2018,,,,,,,,
15,JULI,2018,"36,10",,,,,,,
16,JULI,2018,,,,,,,,
17,JULI,2018,,,,,,,,
18,JULI,2018,,,,,,,,
19,JULI,2018,,,,,,,,
20,JULI,2018,,,,,,,,
21,JULI,2018,,,,,,,,
22,JULI,2018,,,,,,,,
23,JULI,2018,,,,,,,,
24,JULI,2018,,,,,,,,
25,JULI,2018,"28,80",,,,,,,
26,JULI,2018,,,,,,,,
27,JULI,2018,,,,,,,,
28,JULI,2018,"48,30",,,,,,,
29,JULI,2018,"1,60",,,,,,,
30,JULI,2018,"7,30",,,,,,,
31,JULI,2018,"8,30",,,,,,,
1,AGS,2018,"3,90",,,,,,,
2,AGS,2018,"2,70",,,,,,,
3,AGS,2018,,,,,,,,
4,AGS,2018,,,,,,,,
5,AGS,2018,,,,,,,,
6,AGS,2018,,,,,,,,
7,AGS,2018,,,,,,,,
8,AGS,2018,,,,,,,,
9,AGS,2018,,,,,,,,
10,AGS,2018,,,,,,,,
11,AGS,2018,,,,,,,,
12,AGS,2018,,,,,,,,
13,AGS,2018,,,,,,,,
14,AGS,2018,,,,,,,,
15,AGS,2018,,,,,,,,
16,AGS,2018,"1,90",,,,,,,
17,AGS,2018,,,,,,,,
18,AGS,2018,,,,,,,,
19,AGS,2018,"0,80",,,,,,,
20,AGS,2018,,,,,,,,
21,AGS,2018,,,,,,,,
22,AGS,2018,,,,,,,,
23,AGS,2018,"49,40",,,,,,,
24,AGS,2018,,,,,,,,
25,AGS,2018,"3,70",,,,,,,
26,AGS,2018,"2,30",,,,,,,
27,AGS,2018,,,,,,,,
28,AGS,2018,,,,,,,,
29,AGS,2018,"30,70",,,,,,,
30,AGS,2018,,,,,,,,
31,AGS,2018,,,,,,,,
1,SEP,2018,"29,20",,,,,,,
2,SEP,2018,"2,40",,,,,,,
3,SEP,2018,,,,,,,,
4,SEP,2018,,,,,,,,
5,SEP,2018,"0,80",,,,,,,
6,SEP,2018,,,,,,,,
7,SEP,2018,,,,,,,,
8,SEP,2018,,,,,,,,
9,SEP,2018,,,,,,,,
10,SEP,2018,"3,10",,,,,,,
11,SEP,2018,,,,,,,,
12,SEP,2018,,,,,,,,
13,SEP,2018,,,,,,,,
14,SEP,2018,,,,,,,,
15,SEP,2018,,,,,,,,
16,SEP,2018,,,,,,,,
17,SEP,2018,"1,20",,,,,,,
18,SEP,2018,,,,,,,,
19,SEP,2018,,,,,,,,
20,SEP,2018,,,,,,,,
21,SEP,2018,,,,,,,,
22,SEP,2018,,,,,,,,
23,SEP,2018,,,,,,,,
24,SEP,2018,"3,20",,,,,,,
25,SEP,2018,"43,40",,,,,,,
26,SEP,2018,,,,,,,,
27,SEP,2018,,,,,,,,
28,SEP,2018,,,,,,,,
29,SEP,2018,"7,80",,,,,,,
30,SEP,2018,,,,,,,,
31,SEP,2018,"16,70",,,,,,,
1,OKT,2018,"7,70",,,,,,,
2,OKT,2018,,,,,,,,
3,OKT,2018,,,,,,,,
4,OKT,2018,,,,,,,,
5,OKT,2018,,,,,,,,
6,OKT,2018,"12,80",,,,,,,
7,OKT,2018,"3,00",,,,,,,
8,OKT,2018,,,,,,,,
9,OKT,2018,,,,,,,,
10,OKT,2018,,,,,,,,
11,OKT,2018,,,,,,,,
12,OKT,2018,,,,,,,,
13,OKT,2018,"4,20",,,,,,,
14,OKT,2018,"0,80",,,,,,,
15,OKT,2018,,,,,,,,
16,OKT,2018,,,,,,,,
17,OKT,2018,,,,,,,,
18,OKT,2018,,,,,,,,
19,OKT,2018,,,,,,,,
20,OKT,2018,"33,00",,,,,,,
21,OKT,2018,"74,60",,,,,,,
22,OKT,2018,,,,,,,,
23,OKT,2018,,,,,,,,
24,OKT,2018,,,,,,,,
25,OKT,2018,,,,,,,,
26,OKT,2018,,,,,,,,
27,OKT,2018,,,,,,,,
28,OKT,2018,"0,40",,,,,,,
29,OKT,2018,"25,50",,,,,,,
30,OKT,2018,"2,80",,,,,,,
31,OKT,2018,"0,80",,,,,,,
1,NOV,2018,"27,50",,,,,,,
2,NOV,2018,,,,,,,,
3,NOV,2018,,,,,,,,
4,NOV,2018,,,,,,,,
5,NOV,2018,,,,,,,,
6,NOV,2018,,,,,,,,
7,NOV,2018,"6,80",,,,,,,
8,NOV,2018,,,,,,,,
9,NOV,2018,"11,00",,,,,,,
10,NOV,2018,"29,30",,,,,,,
11,NOV,2018,"48,00",,,,,,,
12,NOV,2018,,,,,,,,
13,NOV,2018,"11,84",,,,,,,
14,NOV,2018,"0,70",,,,,,,
15,NOV,2018,"35,90",,,,,,,
