TANGGAL,BULAN,TAHUN,TINGGI MUKA AIR
23,JAN,2019,"6,34"
24,JAN,2019,"6,76"
25,JAN,2019,"7,20"
26,JAN,2019,"7,25"
27,JAN,2019,"6,68"
28,JAN,2019,"6,11"
29,JAN,2019,"5,60"
30,JAN,2019,"5,71"
31,JAN,2019,"6,13"
1,FEB,2019,"5,72"
2,FEB,2019,"5,19"
3,FEB,2019,"5,03"
4,FEB,2019,"6,13"
5,FEB,2019,"6,86"
6,FEB,2019,"7,83"
7,FEB,2019,"8,71"
8,FEB,2019,"7,42"
9,FEB,2019,"8,14"
10,FEB,2019,"8,07"
11,FEB,2019,"8,64"
12,FEB,2019,"8,85"
13,FEB,2019,"8,61"
14,FEB,2019,"8,32"
15,FEB,2019,"7,82"
16,FEB,2019,"7,18"
17,FEB,2019,"7,06"
18,FEB,2019,"7,41"
19,FEB,2019,"7,96"
20,FEB,2019,"9,19"
21,FEB,2019,"8,90"
22,FEB,2019,"7,89"
23,FEB,2019,"6,76"
24,FEB,2019,"5,93"
25,FEB,2019,"5,36"
26,FEB,2019,"5,10"
27,FEB,2019,"5,24"
28,FEB,2019,"5,25"
29,FEB,2019,
30,FEB,2019,
31,FEB,2019,
1,MAR,2019,"5,00"
2,MAR,2019,"4,45"
3,MAR,2019,"4,19"
4,MAR,2019,"4,16"
5,MAR,2019,"4,10"
6,MAR,2019,"4,03"
7,MAR,2019,"4,01"
8,MAR,2019,"4,78"
9,MAR,2019,"5,98"
10,MAR,2019,"6,24"
11,MAR,2019,"6,61"
12,MAR,2019,"6,80"
13,MAR,2019,"5,95"
14,MAR,2019,"5,76"
15,MAR,2019,"6,42"
16,MAR,2019,"7,25"
17,MAR,2019,"7,54"
18,MAR,2019,"7,08"
19,MAR,2019,"6,16"
20,MAR,2019,"5,28"
21,MAR,2019,"4,69"
22,MAR,2019,"4,61"
23,MAR,2019,"5,11"
24,MAR,2019,"5,94"
25,MAR,2019,"5,75"
26,MAR,2019,"5,39"
27,MAR,2019,"5,10"
28,MAR,2019,"4,93"
29,MAR,2019,"4,81"
30,MAR,2019,"6,10"
31,MAR,2019,"6,94"
1,APR,2019,"7,52"
2,APR,2019,"7,46"
3,APR,2019,"7,87"
4,APR,2019,"8,02"
5,APR,2019,"7,92"
6,APR,2019,"8,06"
7,APR,2019,"7,81"
8,APR,2019,"7,47"
9,APR,2019,"7,31"
10,APR,2019,"7,10"
11,APR,2019,"7,08"
12,APR,2019,"7,83"
13,APR,2019,"8,49"
14,APR,2019,"8,68"
15,APR,2019,"9,23"
16,APR,2019,"9,63"
17,APR,2019,"9,56"
18,APR,2019,"9,44"
19,APR,2019,"9,53"
20,APR,2019,"9,32"
21,APR,2019,"9,24"
22,APR,2019,"9,25"
23,APR,2019,"8,86"
24,APR,2019,"8,01"
25,APR,2019,"7,24"
26,APR,2019,"6,72"
27,APR,2019,"6,36"
28,APR,2019,"7,18"
29,APR,2019,"9,01"
30,APR,2019,"9,77"
31,APR,2019,
1,MEI,2019,"9,83"
2,MEI,2019,"9,57"
